Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Critical Mass,Indica,"This indica cartridge loads Critical Mass into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — with notes of earthy, skunk, and woody, with a heavy, relaxed body calm.",,,,,,,
crop circleZ,Hybrid,"crop circleZ is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Crowned Woodnymph,,,,,,,,,
Crumpets,Hybrid,"Crumpets is a hybrid pre-roll with notes of butter, earthy, and blue cheese, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Crumpets  x Golden Pineapple,Hybrid,"This infused hybrid blunt pairs Crumpets x Golden Pineapple with a concentrate boost for a thicker, longer-lasting session and a noticeably stronger hit. More potent than flower alone, with more intense effects — a crisp, sweet apple flavor, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Crunch Berriez,Hybrid,"This infused hybrid pre-roll wraps Crunch Berriez flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — with notes of berry, apricot, and blueberry, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
cthulhu,Hybrid,"Cthulhu is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Curacao,Hybrid,"Curacao is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
da FUNK 7,Hybrid,"Hand-pressed hybrid rosin from da FUNK 7 — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Expect a balanced, sweet-earthy profile, a rich terpene punch, and a balanced head-and-body experience.",,,,,,,
Daily Grape,Hybrid,"Daily Grape is a hybrid flower with notes of grape, berry, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Daiquiri,Sativa,"This sativa disposable carries Daiquiri in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, bright, citrusy-spicy notes, delivering a clear, creative buzz.",,,,,,,
Dan's Diesel,Hybrid,"A chemical-free hybrid rosin, where Dan's Diesel is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect a pungent diesel and fuel flavor, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
Dank Draaank,Hybrid,"Dank Draaank is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Dankchata,Hybrid,"A bold chef-inspired infused shot — compact, flavorful, and mixed like a tiny craft cocktail for a quick edible-style experience. Best enjoyed cold, with plenty of time for the infused finish to arrive.",,,,,,,
Danny DeWeedo,Hybrid,"Danny DeWeedo is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Dante's Inferno,Hybrid,"Dante's Inferno is a hybrid flower with notes of ammonia, pepper, and tea, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Dark Chocolate,Hybrid,"Luxurious chocolate made for slow savoring — deep cocoa, soft sweetness, and a cannabis infusion blended into the recipe like a secret ingredient passed down for generations. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Dark Chocolate Sea Salt,Hybrid,"Dark Chocolate Sea Salt is a hybrid flower with a rich, sweet chocolate flavor and balanced, well-rounded effects.",,,,,,,
Dark Chocolate Sea Salt 1:1:1:1 CBG CBC CBD THC,,,,,,,,,
Dark Rainbow,Hybrid,"This hybrid cartridge loads Dark Rainbow into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Convenient and clean, with notes of pepper, grapefruit, and butter, delivering an even, best-of-both-worlds feel.",,,,,,,
Day,Hybrid,"This hybrid rosin is the connoisseur's clean dab: Day coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. Golden, terpy, and gentle on the lungs — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel.",,,,,,,
Death Mintz,Hybrid,"A hybrid infused joint built on Death Mintz and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a cool, refreshing mint flavor, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Death Star,,,,,,,,,
Deep Fried Oreoz,Hybrid,"Effortless hybrid disposable vape of Deep Fried Oreoz — fully charged out of the box, dialed in for smooth flavor and total convenience. Zero setup, all flavor — a crisp, sweet apple flavor, with a versatile, anytime balance.",,,,,,,
Deep Space,Hybrid,"Deep Space is a hybrid pre-roll with notes of ammonia, chemical, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Designer Runtz,Hybrid,"Ready-to-spark hybrid infused pre-roll of Designer Runtz, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — with notes of citrus, diesel, and strawberry, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Diamond Fog,Hybrid,"A hybrid infused joint built on Diamond Fog and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Diamond Runtz,Hybrid,"Diamond Runtz is a hybrid flower with notes of berry, sweet, and tropical, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Diet Raspberry Lemonade,Hybrid,"A boutique infused beverage with sweet-tart lemonade notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Dirty Sugah,Hybrid,"Dirty Sugah is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Dirty White Girls,Hybrid,"A hybrid infused joint built on Dirty White Girls and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Divine Kush Breath,Hybrid,"Divine Kush Breath is a hybrid flower with notes of diesel, nutty, and blue cheese, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Dixie Kong,Hybrid,"This hybrid BHO concentrate distills Dixie Kong down to its potent essence through precision closed-loop extraction and a clean solvent purge. Efficient and hard-hitting, a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel.",,,,,,,
DJ Short Blueberry,Indica,"DJ Short Blueberry is an indica flower with notes of blueberry, berry, and sweet, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Do Si Do,Hybrid,"A chemical-free hybrid rosin, where Do Si Do is pressed between heated plates until pure, golden oil weeps out and cools into a soft, creamy concentrate. Expect with notes of flowery, pepper, and earthy, a rich terpene punch, and an even, best-of-both-worlds feel.",,,,,,,
Doggy Bagg,Hybrid,"Portable hybrid vape cart of Doggy Bagg, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Flavor on the go, a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel, leading into a balanced head-and-body experience.",,,,,,,
Dojaberry,Hybrid,"Dojaberry is a hybrid pre-roll with a sweet, ripe berry flavor and balanced, well-rounded effects.",,,,,,,
Dolato,Indica,"This indica BHO concentrate distills Dolato down to its potent essence through precision closed-loop extraction and a clean solvent purge. Potent, clean, and lab-tested — with notes of lavender, tobacco, and tar, with a heavy, relaxed body calm.",,,,,,,
Dole Whip,Hybrid,"A hybrid infused joint built on Dole Whip and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — with notes of pineapple, tropical, and diesel, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Don Mega,Hybrid,"Don Mega is a hybrid flower with notes of ammonia, tar, and chemical, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Donkey Butter,Indica,"This infused indica pre-roll wraps Donkey Butter flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of butter, pepper, and earthy, with a slow, mellow wind-down vibe. A little goes a long way.",,,,,,,
Donny Tsunami,Hybrid,"This infused hybrid pre-roll wraps Donny Tsunami flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Donut Resin,Hybrid,"This infused hybrid pre-roll wraps Donut Resin flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Doozies Mini Marionberry 2:1 20pk,,,,,,,,,
Doozies PLUS Blueberry Lemon 2:1:1 + Lionsmane,,,,,,,,,
Dosi Punch,Indica,"Dosi Punch is an indica pre-roll with notes of pepper, violet, and berry, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Dosimo #1,Hybrid,"Hand-pressed hybrid rosin from Dosimo #1 — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Flavor-forward and full-spectrum, a balanced, sweet-earthy profile, leading into a smooth, well-rounded vibe.",,,,,,,
Double Dipped Strawberries,Hybrid,"Double Dipped Strawberries is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Double Durban,Indica,"Double Durban is an indica flower with notes of citrus, diesel, and mango, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Double kush cake,Hybrid,"Ready-to-spark hybrid infused pre-roll of Double kush cake, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — an earthy, piney, hashy aroma and a classic, relaxing feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Double Mint,Indica,"This indica cartridge loads Double Mint into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, with notes of mint, lemon, and blueberry, leading into a heavy, relaxed body calm.",,,,,,,
Double Strawberry,Hybrid,"A hybrid pre-roll of Double Strawberry supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a sweet, juicy strawberry flavor, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Double Tap,Indica,"A indica pre-roll of Double Tap supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of diesel, berry, and pungent, delivering a heavy, relaxed body calm. Pace yourself.",,,,,,,
Doughp,Hybrid,"Aromatic hybrid live resin pressed from fresh-frozen Doughp, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. A premium dab done right, a balanced, sweet-earthy profile, with a versatile, anytime balance.",,,,,,,
Dragon,Hybrid,"A gourmet-style chef-inspired treat with imaginative flavor, balanced sweetness, and a clean infused finish. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Dragon Ball Sativa,Hybrid,"A small-batch chef-inspired edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
