slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
alpine blue,Alpine Blue,,hybrid,,,berry|blueberry|pine,berry|blueberry|pine,,thc,WA flower lots test around 14% THC on average.,,,"Alpine Blue is a hybrid with flavors of berry, blueberry, pine.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
alpine star,Alpine Star,,indica,,,citrus|earthy|pine,citrus|earthy|pine,,thc,WA flower lots test around 29% THC on average.,,,"Alpine Star is an indica with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
american kush,American Kush,,indica,,,lemon|citrus|sweet,lemon|citrus|sweet,,thc,,,Alpha Kronik Genes,"American Kush is an indica with flavors of lemon, citrus, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
american-dream,American-dream,,hybrid,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,,,Sensi Seeds,"American-dream is a hybrid with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
amethyst-bud,Amethyst-bud,,hybrid,,,berry|floral|sweet,berry|floral|sweet,,thc,,,Soma Seeds,"Amethyst-bud is a hybrid with flavors of berry, floral, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
ancient og,Ancient Og,,indica,,,earthy|floral|nutty,earthy|floral|nutty|pine,,thc,WA flower lots test around 16% THC on average.,,Bodhi Seeds,"Ancient Og is an indica with flavors of earthy, floral, nutty.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
ancient-kush,Ancient-kush,,indica,,,cheese|mint|skunk,cheese|mint|skunk,,thc,,,,"Ancient-kush is an indica with flavors of cheese, mint, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
anesthesia,Anesthesia,,indica,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,WA flower lots test around 15% THC on average.,,,"Anesthesia is an indica with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
angel-og,Angel-og,,indica,,,berry|earthy|pungent,berry|earthy|pungent,,thc,,,,"Angel-og is an indica with flavors of berry, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
anonymous-og,Anonymous-og,,indica,,,coffee|earthy|floral,coffee|earthy|floral|lemon|skunk,,thc,,,,"Anonymous-og is an indica with flavors of coffee, earthy, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
anubis,Anubis,,indica,,,earthy|grape|citrus,earthy|grape|citrus,,thc,,,,"Anubis is an indica with flavors of earthy, grape, citrus.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
ape-shit,Ape-shit,,hybrid,,,grape|floral|sweet,grape|floral|sweet,,thc,,,,"Ape-shit is a hybrid with flavors of grape, floral, sweet.",The Cannabis API (Piyush-Bhor),0.65
apollo,Apollo,,hybrid,,caryophyllene,peppery|spicy|woody|earthy,,caryophyllene|myrcene|humulene,thc,,,,Apollo is a hybrid with Caryophyllene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
apollo 11,Apollo 11,,hybrid,,,citrus|lemon|pungent,citrus|lemon|pungent,,thc,WA flower lots test around 20% THC on average.,,Brothers Grimm Marijuana Seed Bank,"Apollo 11 is a hybrid with flavors of citrus, lemon, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
apollo 13,Apollo 13,,hybrid,,,earthy|herbal|spicy,earthy|herbal|spicy|sweet,,thc,WA flower lots test around 20% THC on average.,,Brothers Grimm Marijuana Seed Bank,"Apollo 13 is a hybrid with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
appalachia,Appalachia,,hybrid,,,earthy|pungent|skunk,earthy|pungent|skunk,,thc,,,,"Appalachia is a hybrid with flavors of earthy, pungent, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
appalachian power,Appalachian Power,,sativa,,,grape|sweet|tropical,grape|sweet|tropical,,thc,WA flower lots test around 21% THC on average.,,,"Appalachian Power is a sativa with flavors of grape, sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
apple jack,Apple Jack,,hybrid,,,apple|earthy|sweet,apple|earthy|sweet,,thc,WA flower lots test around 19% THC on average.,,Seedism,"Apple Jack is a hybrid with flavors of apple, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
apple kush,Apple Kush,,hybrid,,,apple|diesel|pungent,apple|diesel|pungent,,thc,WA flower lots test around 20% THC on average.,,,"Apple Kush is a hybrid with flavors of apple, diesel, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
appleberry,Appleberry,,indica,,,apple|berry|earthy,apple|berry|earthy|sweet,,thc,,,,"Appleberry is an indica with flavors of apple, berry, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
arctic-sun,Arctic-sun,,hybrid,,,pungent|skunk,pungent|skunk,,thc,,,Flying Dutchmen Seed Company,"Arctic-sun is a hybrid with flavors of pungent, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
arcticblue,Arcticblue,,hybrid,,,blueberry|earthy|sweet,blueberry|earthy|sweet,,thc,,,,"Arcticblue is a hybrid with flavors of blueberry, earthy, sweet.",The Cannabis API (Piyush-Bhor),0.65
area-51,Area-51,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,,,,"Area-51 is a hybrid with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
argyle,Argyle,,indica,,,earthy|herbal|peppery,earthy|herbal|peppery|pungent|spicy,,thc,,,Tweed,"Argyle is an indica with flavors of earthy, herbal, peppery.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
arjans strawberry haze,Arjans Strawberry Haze,,sativa,,,berry|strawberry|sweet,berry|strawberry|sweet,,thc,WA flower lots test around 12% THC on average.,,,"Arjans Strawberry Haze is a sativa with flavors of berry, strawberry, sweet.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
arjans-ultra-haze-1,Arjans-ultra-haze-1,,sativa,,,earthy|mint,earthy|mint,,thc,,,,"Arjans-ultra-haze-1 is a sativa with flavors of earthy, mint.",The Cannabis API (Piyush-Bhor),0.65
armageddon,Armageddon,,hybrid,,,diesel|tropical|woody,diesel|tropical|woody,,thc,,,Homegrown Fantaseeds,"Armageddon is a hybrid with flavors of diesel, tropical, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
armagnac,Armagnac,,hybrid,,,floral|herbal|spicy,floral|herbal|spicy|sweet,,thc,,,New House Seeds,"Armagnac is a hybrid with flavors of floral, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
ash,Ash,,hybrid,,,herbal|pungent|skunk,herbal|pungent|skunk|spicy,,thc,,,Mr. Nice,"Ash is a hybrid with flavors of herbal, pungent, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
asian-fantasy,Asian-fantasy,,sativa,,,earthy|skunk|woody,earthy|skunk|woody,,thc,,,,"Asian-fantasy is a sativa with flavors of earthy, skunk, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
aspen-og,Aspen-og,,hybrid,,,blueberry|earthy|herbal,blueberry|earthy|herbal|spicy,,thc,,,303 Seeds,"Aspen-og is a hybrid with flavors of blueberry, earthy, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
atf,Atf,,hybrid,,terpinolene,herbal|piney|floral|hoppy,,terpinolene|humulene|pinene,thc,,,,Atf is a hybrid with Terpinolene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
athabasca,Athabasca,,indica,,,pungent|diesel|earthy,pungent|diesel|earthy,,thc,,,,"Athabasca is an indica with flavors of pungent, diesel, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
atmosphere,Atmosphere,,hybrid,,,citrus|floral|sweet,citrus|floral|sweet,,thc,,,,"Atmosphere is a hybrid with flavors of citrus, floral, sweet.",The Cannabis API (Piyush-Bhor),0.65
atomic blueberry,Atomic Blueberry,,hybrid,,pinene,pine|fresh|earthy|musky,,pinene|myrcene|humulene,thc,,,,Atomic Blueberry is a hybrid with Pinene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
atomic goat,Atomic Goat,,hybrid,,,herbal|nutty|spicy,herbal|nutty|spicy,,thc,,,,"Atomic Goat is a hybrid with flavors of herbal, nutty, spicy.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
atomic northern lights,Atomic Northern Lights,,hybrid,,,earthy|floral|pungent,earthy|floral|pungent,,thc,WA flower lots test around 19% THC on average.,,Dr. Atomic,"Atomic Northern Lights is a hybrid with flavors of earthy, floral, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
atomical haze,Atomical Haze,,sativa,,,citrus|mint|pungent,citrus|mint|pungent|sweet,,thc,WA flower lots test around 7% THC on average.,,,"Atomical Haze is a sativa with flavors of citrus, mint, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
aurora borealis,Aurora Borealis,,indica,,,earthy|skunk|sweet,earthy|skunk|sweet|woody,,thc,WA flower lots test around 22% THC on average.,,Flying Dutchmen Seed Company,"Aurora Borealis is an indica with flavors of earthy, skunk, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
avi,Avi,,hybrid,,,earthy|pungent,earthy|pungent,,thc,,,,"Avi is a hybrid with flavors of earthy, pungent.",The Cannabis API (Piyush-Bhor),0.65
avi-dekel,Avi-dekel,,hybrid,,,earthy|floral|sweet,earthy|floral|sweet,,thc,,,,"Avi-dekel is a hybrid with flavors of earthy, floral, sweet.",The Cannabis API (Piyush-Bhor),0.65
ayahuasca-purple,Ayahuasca-purple,,indica,,,earthy|herbal|pungent,earthy|herbal|pungent|spicy,,thc,,,,"Ayahuasca-purple is an indica with flavors of earthy, herbal, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
az-super-sour-og,Az-super-sour-og,,hybrid,,,pungent|herbal|woody,pungent|herbal|woody,,thc,,,,"Az-super-sour-og is a hybrid with flavors of pungent, herbal, woody.",The Cannabis API (Piyush-Bhor),0.65
azure-haze,Azure-haze,,hybrid,,,berry|blueberry|sweet,berry|blueberry|sweet,,thc,,,DJ Short,"Azure-haze is a hybrid with flavors of berry, blueberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
b-witched,B-witched,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,,,,"B-witched is a hybrid with flavors of citrus, earthy, sweet.",The Cannabis API (Piyush-Bhor),0.65
bakerstreet,Bakerstreet,,indica,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,,,,"Bakerstreet is an indica with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
balmoral,Balmoral,,hybrid,,,cheese|earthy|pine,cheese|earthy|pine,,thc,,,,"Balmoral is a hybrid with flavors of cheese, earthy, pine.",The Cannabis API (Piyush-Bhor),0.65
banana peel,Banana Peel,,hybrid,,,earthy|herbal|spicy,earthy|herbal|spicy|tropical,,thc,WA flower lots test around 19% THC on average.,,Illuminati Seeds,"Banana Peel is a hybrid with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
banana-candy,Banana-candy,,indica,,,earthy|sweet,earthy|sweet,,thc,,,,"Banana-candy is an indica with flavors of earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
banana-cream-og,Banana-cream-og,,hybrid,,,mint|pine,mint|pine,,thc,,,,"Banana-cream-og is a hybrid with flavors of mint, pine.",The Cannabis API (Piyush-Bhor),0.65
banana-diesel,Banana-diesel,,hybrid,,,diesel|earthy|skunk,diesel|earthy|skunk,,thc,,,Baked Genetics,"Banana-diesel is a hybrid with flavors of diesel, earthy, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bananas,Bananas,,hybrid,,,grape|tropical|vanilla,grape|tropical|vanilla,,thc,WA flower lots test around 17% THC on average.,,,"Bananas is a hybrid with flavors of grape, tropical, vanilla.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
bandana,Bandana,,hybrid,,,earthy|pungent|woody,earthy|pungent|woody,,thc,,,Alpha Kronik Genes,"Bandana is a hybrid with flavors of earthy, pungent, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bangi-haze,Bangi-haze,,sativa,,,berry|cheese,berry|cheese,,thc,,,ACE Seeds,"Bangi-haze is a sativa with flavors of berry, cheese.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bango,Bango,,hybrid,,,earthy|citrus|pungent,earthy|citrus|pungent,,thc,WA flower lots test around 23% THC on average.,,,"Bango is a hybrid with flavors of earthy, citrus, pungent.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
barbara bud,Barbara Bud,,indica,,,citrus|earthy|mango,citrus|earthy|mango|pine,,thc,WA flower lots test around 17% THC on average.,,,"Barbara Bud is an indica with flavors of citrus, earthy, mango.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
batman-og,Batman-og,,indica,,,pungent|skunk|sweet,pungent|skunk|sweet,,thc,,,,"Batman-og is an indica with flavors of pungent, skunk, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bay 11,Bay 11,,sativa,,,citrus|earthy|skunk,citrus|earthy|skunk|sweet,,thc,WA flower lots test around 18% THC on average.,,Grand Daddy Purp,"Bay 11 is a sativa with flavors of citrus, earthy, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
bb king,Bb King,,indica,,,citrus|earthy|lemon,citrus|earthy|lemon,,thc,,,,"Bb King is an indica with flavors of citrus, earthy, lemon.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
bc big bud,Bc Big Bud,,hybrid,,,earthy|pungent|tropical,earthy|pungent|tropical,,thc,,,,"Bc Big Bud is a hybrid with flavors of earthy, pungent, tropical.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
bc-roadkill,Bc-roadkill,,hybrid,,,earthy|skunk|woody,earthy|skunk|woody,,thc,,,Cannacopia Seeds,"Bc-roadkill is a hybrid with flavors of earthy, skunk, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bc-sweet-tooth,Bc-sweet-tooth,,indica,,,honey|sweet,honey|sweet,,thc,,,BC Bud Depot,"Bc-sweet-tooth is an indica with flavors of honey, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bear-dance,Bear-dance,,hybrid,,,earthy|mint|sweet,earthy|mint|sweet,,thc,,,303 Seeds,"Bear-dance is a hybrid with flavors of earthy, mint, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
beast mode og,Beast Mode Og,,hybrid,,,apricot|earthy|pine,apricot|earthy|pine,,thc,WA flower lots test around 23% THC on average.,,,"Beast Mode Og is a hybrid with flavors of apricot, earthy, pine.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
beast-mode-20,Beast-mode-20,,indica,,,berry|earthy|woody,berry|earthy|woody,,thc,,,,"Beast-mode-20 is an indica with flavors of berry, earthy, woody.",The Cannabis API (Piyush-Bhor),0.65
bedford-glue,Bedford-glue,,hybrid,,,peppery|pine|herbal,peppery|pine|herbal,,thc,,,,"Bedford-glue is a hybrid with flavors of peppery, pine, herbal.",The Cannabis API (Piyush-Bhor),0.65
bedica,Bedica,,indica,,,cheese|pungent|sweet,cheese|pungent|sweet|woody,,thc,,,,"Bedica is an indica with flavors of cheese, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bediol,Bediol,,sativa,,,citrus|earthy|lemon,citrus|earthy|lemon|mango|pine,,thc,,,,"Bediol is a sativa with flavors of citrus, earthy, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
bell ringer,Bell Ringer,,indica,,,citrus|pungent|sweet,citrus|pungent|sweet,,thc,WA flower lots test around 25% THC on average.,,,"Bell Ringer is an indica with flavors of citrus, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
belladonna,Belladonna,,hybrid,,,creamy|earthy|peach,creamy|earthy|peach,,thc,WA flower lots test around 14% THC on average.,,Paradise Seeds,"Belladonna is a hybrid with flavors of creamy, earthy, peach.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
berkeley,Berkeley,,sativa,,,citrus|pungent|sweet,citrus|pungent|sweet,,thc,,,,"Berkeley is a sativa with flavors of citrus, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
berry bomb,Berry Bomb,,hybrid,,,berry|blueberry|floral,berry|blueberry|floral,,thc,WA flower lots test around 18% THC on average.,,Bomb Seeds,"Berry Bomb is a hybrid with flavors of berry, blueberry, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
berry og,Berry Og,,hybrid,,,berry|blueberry|earthy,berry|blueberry|earthy,,thc,WA flower lots test around 18% THC on average.,,,"Berry Og is a hybrid with flavors of berry, blueberry, earthy.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
berry-larry,Berry-larry,,hybrid,,,berry|citrus|orange,berry|citrus|orange,,thc,,,,"Berry-larry is a hybrid with flavors of berry, citrus, orange.",The Cannabis API (Piyush-Bhor),0.65
berry-noir,Berry-noir,,indica,,,berry|earthy|sweet,berry|earthy|sweet,,thc,,,,"Berry-noir is an indica with flavors of berry, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
